C:\WPy-3702\python-3.7.0.amd64\python.exe "C:/Users/Motaz Saad/PycharmProjects/lexicon-based-sa-unemployment/find_overlaps.py"
حقير very_neg.txt neg.txt
مزوره very_neg.txt neg.txt
مخيس very_neg.txt neg.txt
عصابات very_neg.txt neg.txt
عجزو very_neg.txt neg.txt
هاينينكم very_neg.txt neg.txt
خياسكم very_neg.txt neg.txt
كارثه very_neg.txt neg.txt
اقصاء very_neg.txt neg.txt
عاجزنا very_neg.txt neg.txt
مزورين very_neg.txt neg.txt
عاجزين very_neg.txt neg.txt
محتقرينا very_neg.txt neg.txt
تفتقر very_neg.txt neg.txt
سخيف very_neg.txt neg.txt
الواسطه very_neg.txt neg.txt
يهمش very_neg.txt neg.txt
كارثيه very_neg.txt neg.txt
المهم very_neg.txt neg.txt
مظلومين very_neg.txt neg.txt
تحذير very_neg.txt neg.txt
متشائم very_neg.txt neg.txt
هزلت very_neg.txt neg.txt
باغضات very_neg.txt neg.txt
قذارتهم very_neg.txt neg.txt
يهايط very_neg.txt neg.txt
احباط very_neg.txt neg.txt
الرفض very_neg.txt neg.txt
يوصخون very_neg.txt neg.txt
فقر very_neg.txt neg.txt
منتنه very_neg.txt neg.txt
اقصائه very_neg.txt neg.txt
تافه very_neg.txt neg.txt
مجرمين very_neg.txt neg.txt
يغبن very_neg.txt neg.txt
خياس very_neg.txt neg.txt
اوصخ very_neg.txt neg.txt
محبطات very_neg.txt neg.txt
عدوي very_neg.txt neg.txt
فاشل very_neg.txt neg.txt
قذاره very_neg.txt neg.txt
العجز very_neg.txt neg.txt
تحذيرات very_neg.txt neg.txt
الفاسدين very_neg.txt neg.txt
يحاربون very_neg.txt neg.txt
فاسدات very_neg.txt neg.txt
ذنبهم very_neg.txt neg.txt
معطلين very_neg.txt neg.txt
نتنه very_neg.txt neg.txt
سافلين very_neg.txt neg.txt
حقاره very_neg.txt neg.txt
التهميش very_neg.txt neg.txt
يعاني very_neg.txt neg.txt
مستهزيات very_neg.txt neg.txt
تتشائم very_neg.txt neg.txt
تدهور very_neg.txt neg.txt
بالينكم very_neg.txt neg.txt
يعادونها very_neg.txt neg.txt
خذلونا very_neg.txt neg.txt
مخفق very_neg.txt neg.txt
يحتقرونا very_neg.txt neg.txt
مستهزين very_neg.txt neg.txt
يتسولون very_neg.txt neg.txt
بشعين very_neg.txt neg.txt
اعاقه very_neg.txt neg.txt
عاجز very_neg.txt neg.txt
تناقض very_neg.txt neg.txt
ينبحون very_neg.txt neg.txt
يفسدون very_neg.txt neg.txt
مدمره very_neg.txt neg.txt
يوطون very_neg.txt neg.txt
معاق very_neg.txt neg.txt
عقاب very_neg.txt neg.txt
اعدائي very_neg.txt neg.txt
بشاعه very_neg.txt neg.txt
تخبط very_neg.txt neg.txt
أبشع very_neg.txt neg.txt
تخذلنا very_neg.txt neg.txt
يحطمون very_neg.txt neg.txt
منخرع very_neg.txt neg.txt
هدم very_neg.txt neg.txt
بشعات very_neg.txt neg.txt
تخرع very_neg.txt neg.txt
محاربه very_neg.txt neg.txt
التملق very_neg.txt neg.txt
مبتلين very_neg.txt neg.txt
يسبني very_neg.txt neg.txt
بشعه very_neg.txt neg.txt
استغلال very_neg.txt neg.txt
انفجار very_neg.txt neg.txt
عاهات very_neg.txt neg.txt
يجهلون very_neg.txt neg.txt
خذلوني very_neg.txt neg.txt
مستغلينهم very_neg.txt neg.txt
وعاطله very_neg.txt neg.txt
معضله very_neg.txt neg.txt
منفجر very_neg.txt neg.txt
أنانيتهم very_neg.txt neg.txt
عقبات very_neg.txt neg.txt
معفنات very_neg.txt neg.txt
خطوره very_neg.txt neg.txt
يهمشكم very_neg.txt neg.txt
فاسد very_neg.txt neg.txt
حرام very_neg.txt neg.txt
تحبط very_neg.txt neg.txt
نكران very_neg.txt neg.txt
استغفال very_neg.txt neg.txt
جريمه very_neg.txt neg.txt
متشائمه very_neg.txt neg.txt
بؤس very_neg.txt neg.txt
يشتمونا very_neg.txt neg.txt
النار very_neg.txt neg.txt
تعسفيه very_neg.txt neg.txt
مجحفين very_neg.txt neg.txt
اعداء very_neg.txt neg.txt
يرفضون very_neg.txt neg.txt
يسبهم very_neg.txt neg.txt
مجرمات very_neg.txt neg.txt
التخبط very_neg.txt neg.txt
ضاعت very_neg.txt neg.txt
مظلوم very_neg.txt neg.txt
تدمر very_neg.txt neg.txt
جاهلات very_neg.txt neg.txt
عاجزهم very_neg.txt neg.txt
ابشع very_neg.txt neg.txt
بعثرتنا very_neg.txt neg.txt
منخرعين very_neg.txt neg.txt
خدعه very_neg.txt neg.txt
تجاهلونا very_neg.txt neg.txt
دمروكم very_neg.txt neg.txt
اجحافهم very_neg.txt neg.txt
الفاشلين very_neg.txt neg.txt
عداوه very_neg.txt neg.txt
يهمشهم very_neg.txt neg.txt
منخرعه very_neg.txt neg.txt
قاسي very_neg.txt neg.txt
مظلوما very_neg.txt neg.txt
جبان very_neg.txt neg.txt
تهجير very_neg.txt neg.txt
وصخين very_neg.txt neg.txt
يتجاهلونهم very_neg.txt neg.txt
يهمشني very_neg.txt neg.txt
خطير very_neg.txt neg.txt
شحات very_neg.txt neg.txt
تعسف very_neg.txt neg.txt
خطيره very_neg.txt neg.txt
حرقوا very_neg.txt neg.txt
مبغضين very_neg.txt neg.txt
مهمشات very_neg.txt neg.txt
يتشائم very_neg.txt neg.txt
خياسه very_neg.txt neg.txt
هاينينهم very_neg.txt neg.txt
إحباط very_neg.txt neg.txt
حروب very_neg.txt neg.txt
شحاتات very_neg.txt neg.txt
سبوهم very_neg.txt neg.txt
يعجزو very_neg.txt neg.txt
يحارب very_neg.txt neg.txt
تجهلون very_neg.txt neg.txt
مبتلي very_neg.txt neg.txt
تحارب very_neg.txt neg.txt
مشوهه very_neg.txt neg.txt
مديوس very_neg.txt neg.txt
يحتقرهم very_neg.txt neg.txt
رهبه very_neg.txt neg.txt
عفانه very_neg.txt neg.txt
الجرائم very_neg.txt neg.txt
اقصونا very_neg.txt neg.txt
نعاني very_neg.txt neg.txt
مجهول very_neg.txt neg.txt
رفضوني very_neg.txt neg.txt
تتألم very_neg.txt neg.txt
فساد very_neg.txt neg.txt
ابتلونا very_neg.txt neg.txt
مفسدات very_neg.txt neg.txt
معفنين very_neg.txt neg.txt
يسبنا very_neg.txt neg.txt
مؤلم very_neg.txt neg.txt
عدو very_neg.txt neg.txt
